,Mass,Radius,Temperature,Density,Luminosity,Hydrogen,Opacity,Pressure,Velocity
0,0.0,0.0,13237452.355257284,97.12662153417851,0.0,0.6719351407968303,1.3911969000646016,1.6851049383592832e+17,7.849829777621107e-11
1,1.989737388507742e+30,1697421203.8233926,13139184.312262313,95.77804565596544,2.0182679508721469e+31,0.6744645894082096,1.4103220195537987,1.652662455719408e+17,7.526834983644223e-11
2,3.979474777015484e+30,2143623672.3559272,13080359.760355074,94.9703603015437,3.9723415322364155e+31,0.6759154096948965,1.4212464701784608,1.6332520952077754e+17,7.33855815100656e-11
3,5.969212165523228e+30,2458070274.0425153,13030752.314817537,94.28878626669368,5.884222442285768e+31,0.6771076203115257,1.4301508103199325,1.6168952057710106e+17,7.182688572088846e-11
4,7.958949554030968e+30,2709423015.959026,12986321.526048172,93.67785251870097,7.760201726300219e+31,0.6781528090062293,1.4378840737328775,1.602255658869357e+17,7.045299189549078e-11
5,9.94868694253871e+30,2922478050.9717307,12945388.574084261,93.1145039215505,9.604059273990329e+31,0.679097773692861,1.444804368297903,1.5887776898855766e+17,6.920544822318578e-11
6,1.1938424331046456e+31,3109369279.450219,12907049.477329353,92.58632319225546,1.1418454634014391e+32,0.6799679115959196,1.4511069790145212,1.5761617564942006e+17,6.805251414443983e-11
7,1.3928161719554195e+31,3277050469.1110616,12870747.519663734,92.08566141432617,1.320541663712166e+32,0.6807789720121291,1.4569136014164685,1.564223206429504e+17,6.697448835467753e-11
8,1.5917899108061937e+31,3429921667.778567,12836109.412586818,91.60738862688827,1.4966572984829728e+32,0.6815415812999241,1.4623067608091105,1.5528381005513926e+17,6.595806175173388e-11
9,1.7907636496569676e+31,3570964368.637427,12802868.512873119,91.14784004207016,1.670327532495681e+32,0.6822633753020559,1.4673459821529171,1.5419178388205286e+17,6.499366793013778e-11
10,1.989737388507742e+31,3702303207.827111,12770826.502571039,90.70428951035103,1.8416674402860353e+32,0.6829500642090444,1.4720759880775345,1.5313964612094835e+17,6.407414512701281e-11
11,2.188711127358516e+31,3825511913.3800554,12739830.965359306,90.27464146060544,2.0107769031090932e+32,0.6836060588517351,1.4765314993194443,1.521223221065783e+17,6.319395320451593e-11
12,2.387684866209291e+31,3941792449.6642356,12709761.169033013,89.85723589856133,2.1777439411240114e+32,0.6842348704376807,1.4807402607623725,1.511357889459264e+17,6.234867991594105e-11
13,2.586658605060065e+31,4052086019.329973,12680519.791750547,89.45073444544136,2.3426470738416994e+32,0.6848393421855286,1.4847248598577276,1.5017680008446173e+17,6.15347461186321e-11
14,2.785632343910839e+31,4157145030.788733,12652026.758720694,89.05403581573687,2.505557065632464e+32,0.6854218237852969,1.4885040479105884,1.4924268174158378e+17,6.074919074864067e-11
15,2.984606082761613e+31,4257581547.2203603,12624214.56658657,88.66621215312446,2.6665382197957536e+32,0.6859843050144161,1.4920937168266915,1.4833118004617856e+17,5.998951144973991e-11
16,3.183579821612388e+31,4353900948.801579,12597027.281474512,88.28649355981348,2.8256493965831438e+32,0.6865284402473718,1.4955072544117922,1.4744042132190755e+17,5.925361043591806e-11
17,3.382553560463161e+31,4446525924.322113,12570416.046446292,87.91420847054756,2.9829448314062978e+32,0.6870556809788926,1.4987563626530997,1.465687711103036e+17,5.853965794051631e-11
18,3.5815272993139357e+31,4535814015.649177,12544338.763084672,87.54877820394992,3.138474735134023e+32,0.6875672824875004,1.5018512197515312,1.45714819409841e+17,5.784606843805025e-11
19,3.78050103816471e+31,4622070671.051992,12518759.33184677,87.18970588284999,3.292285832543252e+32,0.6880643247481213,1.504800686839924,1.4487735334441213e+17,5.7171468012441826e-11
20,3.979474777015484e+31,4705559135.736884,12493645.195388688,86.83654446039294,3.4444217898374376e+32,0.688547785542136,1.507612732841588,1.4405528186170456e+17,5.6514623318964166e-11
21,4.178448515866259e+31,4786508085.105499,12468968.201544354,86.48890666629535,3.59492355177623e+32,0.6890185129794604,1.5102943723276583,1.4324765771640656e+17,5.5874454371422334e-11
22,4.377422254717032e+31,4865117568.064192,12444702.97194006,86.14644387680517,3.743829656068076e+32,0.689477274171606,1.512851944658465,1.4245362774552389e+17,5.524998788483901e-11
23,4.576395993567807e+31,4941563717.413242,12420826.967386767,85.80884629839618,3.891176476833051e+32,0.6899247525542177,1.5152911451054252,1.4167243262892112e+17,5.4640353180860716e-11
24,4.775369732418582e+31,5016002511.308316,12397319.951475391,85.47583577918961,4.0369984468492414e+32,0.690361563649254,1.5184161930709403,1.4090338970636933e+17,5.404476453860285e-11
25,4.974343471269355e+31,5088572813.854576,12374162.957393192,85.14715284686378,4.1813282289009536e+32,0.6907882858258945,1.527508424868036,1.4014586251203579e+17,5.346249337479919e-11
26,5.17331721012013e+31,5159398861.947048,12351340.303320285,84.82258053202463,4.324196886853434e+32,0.6912053993375937,1.536345095280788,1.3939931558916824e+17,5.2892910847459434e-11
27,5.3722909489709035e+31,5228592289.206584,12328835.995495344,84.50190073097102,4.46563404065868e+32,0.691613394392148,1.5449370474791584,1.386632130980183e+17,5.23354027080254e-11
28,5.571264687821678e+31,5296253835.266997,12306636.218295451,84.1849238436414,4.605667947404147e+32,0.6920126960213407,1.5532938996428187,1.3793708720888656e+17,5.178942368379405e-11
