,Mass,Radius,Temperature,Density,Luminosity,Hydrogen,Opacity,Convection,Pressure,Velocity
0,0.0,0.0,13350000.0,94.67154756999994,0.0,0.732,1.3125126534431792,1.0,1.7349463022934125e+17,8.627759871343014e-11
1,1.990784227680914e+30,1716978822.1341162,13251641.89992422,93.37533584876273,2.389604065134713e+31,0.732,1.332053645753308,0.0,1.6985845298971552e+17,8.244941455253584e-11
2,3.981568455361828e+30,2166802854.2377524,13193938.722000558,92.61202353374381,4.703749256079984e+31,0.732,1.342991298522008,0.0,1.6773632847271514e+17,8.02746426737327e-11
3,5.972352683042743e+30,2483801600.906035,13145599.714772012,91.97183382363893,6.962242290724845e+31,0.732,1.3518660182582452,0.0,1.659665422330582e+17,7.84925514779285e-11
4,7.963136910723656e+30,2737167154.782689,13102508.535014268,91.40048055454297,9.17342686263047e+31,0.732,1.3595542626232324,0.0,1.6439485721438602e+17,7.693361361544837e-11
5,9.953921138404569e+30,2951903497.3656535,13062956.166394921,90.87540045080077,1.1342530713690709e+32,0.732,1.366424362598708,0.0,1.629570310581659e+17,7.55266914814571e-11
6,1.1944705366085485e+31,3140240351.782512,13026027.526398988,90.38445563924677,1.3473277901107798e+32,0.732,1.3726750049959802,0.0,1.6161848642642765e+17,7.423330106450529e-11
7,1.3935489593766399e+31,3309191708.9032755,12991154.327978615,89.92019552183834,1.5568534484786834e+32,0.732,1.3784319382242904,0.0,1.603578713654879e+17,7.302946311292734e-11
8,1.5926273821447312e+31,3463197557.434921,12957958.670252185,89.47759347758347,1.7630610880525328e+32,0.732,1.3837786532695586,0.0,1.5916082581825034e+17,7.189903394705142e-11
9,1.7917058049128225e+31,3605266695.319076,12926169.865279183,89.0530804702823,1.9661429216261403e+32,0.732,1.3887758787924873,0.0,1.5801710509724048e+17,7.083041398942399e-11
10,1.9907842276809139e+31,3737536245.896702,12895589.908434466,88.64399534773347,2.1662602786336247e+32,0.732,1.3934677725982845,0.0,1.569191082749563e+17,6.981500373554918e-11
11,2.1898626504490052e+31,3861595376.275958,12866060.997071179,88.24831348278737,2.36355473359116e+32,0.732,1.3978909921143052,0.0,1.5586094959564742e+17,6.884603533598545e-11
12,2.388941073217097e+31,3978659117.557678,12837461.81821487,87.86440789680051,2.558151445594536e+32,0.732,1.40207308508195,0.0,1.5483796349290963e+17,6.791818568939435e-11
13,2.5880194959851884e+31,4089677229.109728,12809694.697033565,87.49096675715069,2.75016125151543e+32,0.732,1.4060363782249818,0.0,1.5384638425671744e+17,6.702714383950901e-11
14,2.7870979187532797e+31,4195408961.273579,12782678.287827095,87.12691836034811,2.9396837823989914e+32,0.732,1.4097998496178001,0.0,1.5288311067352864e+17,6.61693302625842e-11
15,2.986176341521371e+31,4296469736.827763,12756344.286256537,86.77137692902923,3.1268081030450908e+32,0.7319999999999999,1.413379700329136,0.0,1.5194556222504474e+17,6.534174590982522e-11
16,3.1852547642894624e+31,4393371684.183892,12730635.848159026,86.42357556167008,3.311617644770779e+32,0.732,1.416789177714989,0.0,1.5103153090856992e+17,6.454184132100712e-11
17,3.3843331870575537e+31,4486539597.359575,12705503.815629799,86.08287223255581,3.4941869596514494e+32,0.732,1.4200400452486552,0.0,1.5013914562787363e+17,6.376743300887936e-11
18,3.583411609825645e+31,4576335705.545798,12680905.91763969,85.74870240441689,3.67458666297995e+32,0.732,1.4231423565011987,0.0,1.4926677086720784e+17,6.301661729713639e-11
19,3.7824900325937364e+31,4663070121.583375,12656804.608958233,85.42057670129246,3.852882890230734e+32,0.732,1.4261052399066505,0.0,1.4841297496661936e+17,6.228771420528764e-11
20,3.9815684553618278e+31,4747003876.1132145,12633169.108785262,85.09807025750641,4.02913261292518e+32,0.7319999999999999,1.4289359377196498,0.0,1.4757653794024083e+17,6.157930632570159e-11
21,4.180646878129919e+31,4828368969.725559,12609970.29750207,84.78080406606904,4.2033928601492104e+32,0.732,1.4316416226599578,0.0,1.467563475479034e+17,6.089008160165535e-11
22,4.3797253008980105e+31,4907371034.164756,12587182.255013362,84.46843212577573,4.375719534285371e+32,0.732,1.434228641933179,0.0,1.459513951602077e+17,6.021885459835023e-11
23,4.578803723666102e+31,4984184049.807258,12564781.006378932,84.16067327293835,4.546159253901837e+32,0.732,1.4367032801736948,0.0,1.451608232832696e+17,5.95645857673829e-11
24,4.777882146434194e+31,5058966944.350431,12542748.731715616,83.8572337679781,4.714760170857287e+32,0.732,1.4390693618570782,0.0,1.4438382820178298e+17,5.892636724661779e-11
25,4.976960569202285e+31,5131859023.192504,12521064.652951332,83.55788702015305,4.8815658033492935e+32,0.732,1.441332581587468,0.0,1.4361969769139523e+17,5.830331913853717e-11
26,5.176038991970377e+31,5202987145.396496,12499712.596841406,83.26240190008906,5.046619622782464e+32,0.732,1.4434968387724452,0.0,1.4286776943129142e+17,5.769466773127814e-11
27,5.375117414738468e+31,5272463518.358026,12478677.586698461,82.9705757977811,5.209961131968259e+32,0.732,1.4455658772609281,0.0,1.4212745188222528e+17,5.709971214149394e-11
28,5.574195837506559e+31,5340389993.631496,12457945.576899381,82.68222386494905,5.371628547184885e+32,0.732,1.447543286147226,0.0,1.41398199532471e+17,5.651780134119715e-11
29,5.773274260274651e+31,5406858680.213543,12437503.439021602,82.39717878923325,5.5316581483541575e+32,0.732,1.4494324939555656,0.0,1.4067951257425512e+17,5.5948333972053515e-11
30,5.972352683042742e+31,5471952176.802309,12417338.984440442,82.11529160820668,5.690083197706569e+32,0.7320000000000001,1.451236756701443,0.0,1.3997093917606054e+17,5.539076065703914e-11
31,6.171431105810833e+31,5535747428.250995,12397442.326483956,81.8364100925263,5.8469374089589034e+32,0.732,1.453688483489755,0.0,1.3927205015574178e+17,5.4844582239992984e-11
32,6.370509528578925e+31,5598315093.730765,12377754.751994316,81.56071880930921,6.002252887874429e+32,0.732,1.4609506554429237,0.0,1.3858244531817352e+17,5.43086687301664e-11
