,Epoch00,Epoch01
0,0.732,0.6486577724450353
1,0.732,0.6525294298510242
2,0.732,0.6547024413774925
3,0.732,0.6564701532598771
4,0.732,0.6580076111017238
5,0.732,0.6593884260240765
6,0.732,0.6606526004322384
7,0.732,0.6618248934708628
8,0.732,0.6629221795327177
9,0.732,0.6639564752679974
10,0.732,0.6649367823485998
11,0.732,0.6658700897887634
12,0.732,0.6667619429974153
13,0.732,0.6676168147978362
14,0.732,0.6684384011864227
15,0.732,0.6692298666302853
16,0.732,0.6699938040153723
17,0.732,0.6707324741922717
18,0.732,0.6714478763834416
19,0.732,0.6721416979705616
20,0.7319999999999999,0.6728154564390609
21,0.732,0.6734704846395348
22,0.732,0.6741079839532915
23,0.732,0.6747289978708956
24,0.732,0.675334522961173
25,0.732,0.6759253861938145
26,0.732,0.6765024145493791
27,0.732,0.6770663131950139
28,0.732,0.6776177401045808
29,0.732,0.6781573098236717
30,0.7320000000000001,0.6786855687679105
31,0.732,0.6792030302320293
32,0.732,0.6797101888977118
33,0.732,0.6802074503201155
34,0.732,0.6806952589464478
35,0.732,0.6811739978056813
36,0.732,0.6816439911702206
37,0.732,0.6821055992530982
38,0.732,0.6825591337447957
39,0.732,0.6830048861307412
40,0.732,0.683443133579318
41,0.7319999999999999,0.6838741397850768
42,0.732,0.6842981429420337
43,0.732,0.6847153692278632
44,0.732,0.6851260556747232
45,0.732,0.6855304113863823
46,0.732,0.6859286044557465
47,0.732,0.6863208530892448
48,0.732,0.6867073203733989
49,0.732,0.68708818137318
50,0.732,0.6874635907080026
51,0.732,0.6878337168084769
52,0.732,0.6881986741701795
53,0.732,0.6885586322904964
54,0.732,0.6889137242795145
55,0.732,0.6892640514212888
56,0.732,0.6896097604333871
57,0.732,0.6899509607597929
58,0.732,0.6902877647931877
59,0.732,0.6906202830146116
60,0.732,0.6909486165836551
61,0.732,0.6912728632882056
62,0.732,0.6915931156865005
63,0.732,0.6919094696469319
64,0.732,0.6922220123459913
65,0.732,0.6925308266905498
66,0.732,0.6928359971001488
67,0.732,0.6931376037872043
68,0.732,0.6934357244236778
69,0.732,0.6937304306985035
70,0.732,0.6940217905172903
71,0.732,0.6943098816633932
72,0.732,0.6945947550466913
73,0.732,0.6948764851354436
74,0.732,0.695155133177015
75,0.7320000000000001,0.6954307650922398
76,0.732,0.695703420000922
77,0.732,0.695973173030045
78,0.732,0.696240075671134
79,0.732,0.6965041679894535
80,0.732,0.6967655156238137
81,0.732,0.6970241676347264
82,0.7319999999999999,0.697280162240997
83,0.732,0.6975335554131027
84,0.732,0.6977843831464648
85,0.732,0.6980327019880742
86,0.732,0.698278545183903
87,0.7320000000000001,0.6985219620808814
88,0.732,0.6987629863661371
89,0.732,0.699001665217513
90,0.732,0.6992380283045558
91,0.7319999999999999,0.6994721250344106
92,0.732,0.6997039728721376
93,0.732,0.699933625354337
94,0.732,0.700161109305221
95,0.732,0.7003864611851333
96,0.732,0.7006097182671717
97,0.732,0.700830895564926
98,0.732,0.7010500418321804
99,0.7319999999999999,0.7006552113297337
100,0.732,0.7008991246835772
101,0.732,0.701140647732753
102,0.732,0.7013798135821592
