,Mass,Radius,Temperature,Density,Luminosity,Hydrogen,Opacity,Convection,Pressure,Velocity
0,0.0,0.0,13350000.0,94.67154756999994,0.0,0.732,1.3125126534431792,1.0,1.7349463022934125e+17,8.627759871343014e-11
1,1.337013537530652e+23,6960000.0,13350000.0,94.67154756999994,1.6490137397267125e+24,0.732,1.3125126534431792,0.0,1.7349463022934125e+17,8.627759871343014e-11
2,1.0696107308131166e+24,13920000.0,13349993.496356167,94.67152749862025,1.3192095402625712e+25,0.732,1.3125148899458203,0.0,1.7349450892624806e+17,8.627740002095874e-11
3,3.609934756192757e+24,20880000.0,13349986.99268823,94.67144123539666,4.452321635645189e+25,0.732,1.312516208779041,0.0,1.734942663201356e+17,8.627714100552939e-11
4,8.556876510468952e+24,27840000.0,13349973.985404458,94.67133490066908,1.0553613641234382e+26,0.732,1.3125197640910546,0.0,1.7349390241144576e+17,8.627668330069704e-11
5,1.6712633336922338e+25,34800000.0,13349960.978061453,94.67116237457613,2.0612428767338507e+26,0.732,1.3125224017366013,0.0,1.7349341720073738e+17,8.627616527480288e-11
6,2.8879394648657947e+25,41760000.0,13349941.467174256,94.67096977685974,3.5618065838907136e+26,0.732,1.3125272758054691,0.0,1.7349281068904138e+17,8.627544856644627e-11
7,4.585933973581669e+25,48720000.0,13349921.956179837,94.67071098869377,5.6559767681480755e+26,0.732,1.3125312322091753,0.0,1.73492082877388e+17,8.627467154067277e-11
8,6.84546355726878e+25,55680000.0,13349895.941756632,94.67043212878178,8.442670950835459e+26,0.732,1.3125374249489525,0.0,1.734912337673977e+17,8.62736958432453e-11
9,9.746743462506935e+25,62640000.0,13349869.927165387,94.67008707977335,1.2020798730826112e+27,0.732,1.3125427000232153,0.0,1.734902633605721e+17,8.627265983379514e-11
10,1.3369987265733958e+26,69600000.0,13349837.409304528,94.66972195889325,1.6489260623515958e+27,0.732,1.31255021131452,0.0,1.7348917165912128e+17,8.627142516736725e-11
11,1.7795406654006573e+26,76560000.0,13349804.891201988,94.66929065070718,2.194694689982377e+27,0.732,1.3125568049382985,0.0,1.7348795866501827e+17,8.627013019606011e-11
12,2.310321120569789e+26,83520000.0,13349765.870032774,94.66883927052066,2.8492736425528734e+27,0.732,1.31256563462831,0.0,1.734866243810627e+17,8.626863658631834e-11
13,2.937360817129529e+26,90480000.0,13349726.848535426,94.66832170525592,3.622549550055592e+27,0.732,1.3125735466471216,0.0,1.7348516880969898e+17,8.626708268059004e-11
14,3.66868022540805e+26,97440000.0,13349681.324218111,94.66778406785888,4.5244076698773834e+27,0.732,1.3125836945495815,0.0,1.7348359195431622e+17,8.626533015883622e-11
15,4.512299539097888e+26,104400000.0,13349635.799473403,94.6671802480485,5.564731770761315e+27,0.732,1.3125929247754997,0.0,1.7348189381783024e+17,8.626351735173732e-11
16,5.4762386533212075e+26,111360000.0,13349583.7721992,94.6665563559709,6.753404016843083e+27,0.732,1.312604390670709,0.0,1.7348007440421962e+17,8.626150595488718e-11
17,6.568517142721535e+26,118320000.0,13349531.744385552,94.66586628458197,8.100304851650488e+27,0.732,1.3126149388823665,0.0,1.7347813371687146e+17,8.625943428508169e-11
