,Mass,Radius,Temperature,Density,Luminosity,Hydrogen,Opacity,Convection,Pressure,Velocity
0,0.0,0.0,13730000.0,104.01891005000004,0.0,0.6714925459109745,1.2806606190230798,1.0,1.871179584135005e+17,9.86260188292806e-11
1,1.4690231063689089e+23,6960000.0,13730000.0,104.01891005000004,1.8999434064275185e+24,0.6714925459109745,1.2806606190230798,0.0,1.871179584135005e+17,9.86260188292806e-11
2,1.1752183592509091e+24,13920000.0,13729992.615370622,104.0188845905573,1.5199527813246203e+25,0.6714925459109745,1.2806634429210013,0.0,1.871178119742424e+17,9.86257546731832e-11
3,3.966360144442862e+24,20880000.0,13729985.230707351,104.01877772570117,5.129826600218184e+25,0.6714925459109745,1.2806652645792358,0.0,1.8711751909582925e+17,9.862541333225887e-11
4,9.401735266328753e+24,27840000.0,13729970.461447768,104.0186454012586,1.2159539052942008e+26,0.6714925459109745,1.2806699101036105,0.0,1.8711707977886224e+17,9.862480784022532e-11
5,1.83627442099803e+25,34800000.0,13729955.69209993,104.01843167214133,2.3748970023607304e+26,0.6714925459109745,1.2806735533962383,0.0,1.8711649402410608e+17,9.862412516627499e-11
6,3.1730777628841927e+25,41760000.0,13729933.538241796,104.01819248333315,4.103794067679988e+26,0.6714925459109745,1.280680020480338,0.0,1.8711576183296208e+17,9.8623178352387e-11
7,5.038721362828214e+25,48720000.0,13729911.384218223,104.0178718912468,6.516619811033424e+26,0.6714925459109745,1.2806854853406229,0.0,1.8711488320683818e+17,9.86221543621502e-11
8,7.521341504900813e+25,55680000.0,13729881.845823465,104.01752583939329,9.727340000994037e+26,0.6714925459109745,1.2806937738746265,0.0,1.8711385814793648e+17,9.862086624932445e-11
9,1.070907267508422e+26,62640000.0,13729852.307163304,104.01709838631602,1.3849909930471e+27,0.6714925459109745,1.2807010601927242,0.0,1.8711268665830826e+17,9.861950096837676e-11
10,1.4690047289609096e+26,69600000.0,13729815.384324173,104.01664547342364,1.8998272882592167e+27,0.6714925459109745,1.2807111700237022,0.0,1.871113687409564e+17,9.86178715883652e-11
11,1.95523954233693e+26,76560000.0,13729778.461096901,104.01611116201984,2.528635859660753e+27,0.6714925459109745,1.2807202776466562,0.0,1.8710990439857555e+17,9.861616505111736e-11
12,2.5384244538246776e+26,83520000.0,13729734.153935984,104.01555139078117,3.2828081734337646e+27,0.6714925459109745,1.2807322085785666,0.0,1.8710829363496934e+17,9.861419444450582e-11
13,3.2273719211581256e+26,90480000.0,13729689.846241433,104.01491022440112,4.1737340346516715e+27,0.6714925459109745,1.280743137310301,0.0,1.8710653645347565e+17,9.861214669420182e-11
14,4.030894086447242e+26,97440000.0,13729638.154911662,104.01424359819482,5.212801433996778e+27,0.6714925459109745,1.2807568891039893,0.0,1.8710463285869885e+17,9.860983491040768e-11
15,4.957802749032553e+26,104400000.0,13729586.46288002,104.0134955808748,6.411396394445728e+27,0.6714925459109745,1.2807696387053114,0.0,1.8710258285462003e+17,9.860744599912258e-11
16,6.016909338311701e+26,111360000.0,13729527.387564683,104.01272210376536,7.780902818076666e+27,0.6714925459109745,1.280785211078507,0.0,1.871003864466442e+17,9.860479309639193e-11
17,7.217024886604018e+26,118320000.0,13729468.311356511,104.01186724022732,9.332702332812138e+27,0.6714925459109745,1.2807997812671015,0.0,1.870980436393956e+17,9.860206308502867e-11
18,8.566960001971713e+26,125280000.0,13729401.852269271,104.01098691696498,1.1078174139333725e+28,0.6714925459109745,1.280817173894419,0.0,1.8709555443907974e+17,9.859906913043334e-11
19,1.0075524841097203e+27,132240000.0,13729335.392075522,104.01002521261648,1.302869485788781e+28,0.6714925459109745,1.2808335643448476,0.0,1.8709291885096403e+17,9.859599808871971e-11
20,1.1751529082096905e+27,139200000.0,13729261.549460426,104.00903804863708,1.5195638375326376e+28,0.6714925459109745,1.2808527768577835,0.0,1.8709013688205437e+17,9.85926631581533e-11
21,1.3603781897414365e+27,146160000.0,13729187.705502458,104.00796950957096,1.7590375691980158e+28,0.6714925459109745,1.2808709872014818,0.0,1.8708720853826115e+17,9.85892511646377e-11
22,1.5641091926624316e+27,153120000.0,13729106.479633955,104.00687551099568,2.0224274768845175e+28,0.6714925459109745,1.280892019188414,0.0,1.8708413382739056e+17,9.858557534281133e-11
23,1.7872267249344994e+27,160080000.0,13729025.252163557,104.00570014398993,2.3108700374526924e+28,0.6714925459109745,1.280912049013689,0.0,1.8708091275599594e+17,9.85818224848588e-11
24,2.030611535802978e+27,167040000.0,13728936.64334652,104.00449931762505,2.6255013932593037e+28,0.6714925459109745,1.2809349000198746,0.0,1.8707754533268355e+17,9.857780586529644e-11
25,2.295144313090241e+27,174000000.0,13728848.032645928,104.0032171301425,2.96745733685913e+28,0.6714925459109745,1.280956748871902,0.0,1.8707403156464966e+17,9.857371223908355e-11
26,2.5817056804733195e+27,180960000.0,13728752.041215671,104.00190948347918,3.33787329575897e+28,0.6714925459109745,1.2809814183994765,0.0,1.8707037146130045e+17,9.856935492411674e-11
27,2.891176194780116e+27,187920000.0,13728656.047597595,104.00052048366727,3.737884317127015e+28,0.6714925459109745,1.2810050857802973,0.0,1.870665650304749e+17,9.856492063462618e-11
28,3.2244363432651545e+27,194880000.0,13728552.673919903,103.99910602488127,4.168625052567805e+28,0.6714925459109745,1.2810315732882707,0.0,1.8706261228237904e+17,9.856022273538837e-11
29,3.5823665409089165e+27,201840000.0,13728449.297727548,103.99761022157168,4.631229742839269e+28,0.6714925459109745,1.2810570586567909,0.0,1.8705851322549443e+17,9.855544789640327e-11
30,3.96584712769136e+27,208800000.0,13728338.542198697,103.996088959523,5.126832202650937e+28,0.6714925459109745,1.281085363561046,0.0,1.8705426787082666e+17,9.855040953282353e-11
31,4.375758365894843e+27,215760000.0,13728227.783805799,103.99448636223137,5.656565805388654e+28,0.6714925459109745,1.2811126663330303,0.0,1.8704987622749984e+17,9.854529426692102e-11
32,4.812980437375017e+27,222720000.0,13728109.646852586,103.99285830646397,6.221563467938427e+28,0.6714925459109745,1.281142788006321,0.0,1.8704533830731894e+17,9.853991556771742e-11
