,Mass,Radius,Temperature,Density,Luminosity,Hydrogen,Opacity,Convection,Pressure,Velocity
0,0.0,0.0,13730000.0,77.59184435,0.0,0.732,2.0627812534396512,1.0,1.4624192928837075e+17,7.995942909329947e-11
1,1.0958027935607062e+23,6960000.0,13730000.0,77.59184435,1.2525426078899403e+24,0.732,2.0627812534396512,0.0,1.4624192928837075e+17,7.995942909329947e-11
2,8.76642184546877e+23,13920000.0,13729994.150706084,77.59183417350589,1.0020331348410263e+25,0.732,2.0627835147009126,0.0,1.4624184780573427e+17,7.995926603837536e-11
3,2.95866650268523e+24,20880000.0,13729988.301397035,77.59178076467863,3.3818550161626986e+25,0.732,2.0627848495076986,0.0,1.4624168484049206e+17,7.995905843211587e-11
4,7.01313185499343e+24,27840000.0,13729976.602815289,77.59171717926455,8.016224743708697e+25,0.732,2.062788445575651,0.0,1.462414403928689e+17,7.995868777326807e-11
5,1.3697513339115801e+25,34800000.0,13729964.904198471,77.5916103617204,1.5656626195953283e+26,0.732,2.0627911152031877,0.0,1.4624111446313715e+17,7.995827256460761e-11
6,2.366928117141832e+25,41760000.0,13729947.356361968,77.59149336746121,2.7054514885794558e+26,0.732,2.0627960460856807,0.0,1.4624070705182528e+17,7.995769430853514e-11
7,3.758589932933144e+25,48720000.0,13729929.808464307,77.59133314146746,4.296131055574585e+26,0.732,2.062800050548467,0.0,1.462402181594401e+17,7.995707150548953e-11
8,5.610482419363537e+25,55680000.0,13729906.411431847,77.59116273859074,6.412838977380537e+26,0.732,2.0628063162537593,0.0,1.4623964778681395e+17,7.995628566304627e-11
9,7.988350319086882e+25,62640000.0,13729883.014306016,77.5909491045674,9.130707852962582e+26,0.732,2.0628116555666898,0.0,1.4623899593468816e+17,7.995545527778663e-11
10,1.0957937343557784e+26,69600000.0,13729853.768162156,77.59072529345349,1.252486448318552e+27,0.732,2.062819256103435,0.0,1.4623826260419898e+17,7.995446186398173e-11
11,1.458498603728379e+26,76560000.0,13729824.521886582,77.59045825197332,1.66704291305614e+27,0.732,2.0628259302818037,0.0,1.462374477963222e+17,7.995342391283395e-11
12,1.8935237642043236e+26,83520000.0,13729789.42674163,77.59018103315526,2.1642514779184174e+27,0.732,2.06283486565905,0.0,1.46236551512498e+17,7.995222294683073e-11
13,2.4074431961154715e+26,90480000.0,13729754.3314205,77.58986058494379,2.751622639463822e+27,0.732,2.0628428747185428,0.0,1.462355737539366e+17,7.995097745027515e-11
